block,cost,SHA_COMPRESS,SHA_EXTEND,KECCAK_PERMUTE,POSEIDON2_PERMUTE,ED_ADD,ED_DECOMPRESS,SECP256K1_ADD,SECP256K1_DOUBLE,SECP256K1_DECOMPRESS,SECP256R1_ADD,SECP256R1_DOUBLE,SECP256R1_DECOMPRESS,BN254_ADD,BN254_DOUBLE,BLS12381_ADD,BLS12381_DOUBLE,BLS12381_DECOMPRESS,BN254_FP_ADD,BN254_FP_SUB,BN254_FP_MUL,BN254_FP2_ADD,BN254_FP2_SUB,BN254_FP2_MUL,BLS12381_FP_ADD,BLS12381_FP_SUB,BLS12381_FP_MUL,BLS12381_FP2_ADD,BLS12381_FP2_SUB,BLS12381_FP2_MUL,SECP256K1_FP_ADD,SECP256K1_FP_SUB,SECP256K1_FP_MUL,UINT256_MUL
24000000,46516580805366667,14,14,140114,0,0,0,76618,153600,0,0,0,0,0,0,0,0,0,48360,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000001,25621556507423314,14,14,79593,0,0,0,46652,93696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000002,21357888234856471,18,18,65671,0,0,0,69791,139776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000003,22305415152743079,18,18,68050,0,0,0,56294,112640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000004,22834463804337752,23,23,74711,0,0,0,69195,139264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000005,48778434803114635,18,18,142297,0,0,0,68539,137216,0,0,0,0,0,0,0,0,0,48794,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000006,15512008358225406,14,14,62128,0,0,0,75487,151552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000007,41606921609111026,51,51,111220,0,0,0,56938,114176,0,0,0,0,0,0,0,0,0,203122,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,19
24000008,29238534403671621,14,14,92010,0,0,0,48166,96768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000009,81513923034506125,14,14,100983,0,0,0,16967,33792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000010,38356475225566437,23,23,123931,0,0,0,124010,249344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000011,8299044123604049,14,14,21786,0,0,0,18317,36864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000012,26491915501714239,14,14,84967,0,0,0,63151,126464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000013,55679893610109510,14,14,145395,0,0,0,64397,129536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000014,4256280820903598,14,14,16640,0,0,0,21840,43520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000015,47980476833948968,23,23,145601,0,0,0,96726,194560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000016,81070914253822037,14,14,98628,0,0,0,15220,30720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000017,37196884046419276,14,14,110344,0,0,0,87892,176128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000018,28828891151132609,6523,6523,78649,0,0,0,53800,107520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000019,38756952511587947,6541,6541,102282,0,0,0,69624,139776,0,0,0,0,0,0,0,0,0,201793,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,19
24000020,28185626913273474,15,15,94513,0,0,0,60706,121344,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54103,0,0,30533,0,15023,0,0,0,4
24000021,35438139090133683,13856,13856,85772,0,0,0,55919,112128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000022,23757643773534377,60,60,66597,0,0,0,50884,102400,0,0,0,0,0,0,0,0,0,199709,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,19
24000023,9043762220870822,14,14,28600,0,0,0,56189,112640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000024,4334116509361722,14,14,15849,0,0,0,20733,41472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000025,77450582616540501,38,38,146158,0,0,0,53733,108544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000026,57543374842033380,20,20,133610,0,0,0,98117,197120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000027,59620729345564646,14,14,115236,0,0,0,59130,118784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000028,25561021331725879,30,30,73987,0,0,0,54769,110080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000029,19245498472841868,18,18,63442,0,0,0,47341,94720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000030,13348930365704704,14,14,48779,0,0,0,24737,49664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000031,23444513044114639,16,16,84194,0,0,0,77644,155648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000032,37240134939871245,14,14,129045,0,0,0,65059,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000033,18320164920464837,14,14,68264,0,0,0,64709,129536,0,0,0,0,0,0,0,0,0,75501,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,5
24000034,50148197382532128,35,35,132080,0,0,0,60508,121856,0,0,0,0,0,0,0,0,0,48026,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000035,24782193536306878,21,21,87825,0,0,0,59962,120320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000036,3565578160913243,14,14,12136,0,0,0,15256,30720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000037,56711103223449421,18,18,165110,0,0,0,87427,175616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000038,21218079384628322,18,18,68487,0,0,0,55314,111104,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,216412,0,0,122132,0,60092,0,0,0,16
24000039,20958615316553543,14,14,70842,0,0,0,46114,92672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000040,54188342933057658,143,143,154326,0,0,0,67285,135168,0,0,0,0,0,0,0,0,0,47988,0,0,17578,0,18039,0,0,0,0,0,0,0,0,0,2
24000041,15418815845636811,14,14,56492,0,0,0,46297,93184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000042,16495481769521683,15,15,52823,0,0,0,35887,72192,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,54103,0,0,30533,0,15023,0,0,0,4
24000043,43061956651597159,14,14,129024,0,0,0,91233,183296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
